,id,epoch,sat_id,x,y,z,Vx,Vy,Vz,x_sim,y_sim,z_sim,Vx_sim,Vy_sim,Vz_sim
195293,371256,1388534400.0,200,-11036.295250660478,-13109.35900665877,6160.275446340317,-4.539592485480545,2.16387757427091,-3.527964814102413,-9808.759469922785,-13705.218964881753,7160.706415368916,-4.702089415498056,1.9057736997132613,-3.428093238237865
195294,371257,1388541427.503,200,-23196.535557065134,11059.937310615242,-18029.65143659869,0.253786451003303,3.474038694865002,-2.6866681376695194,-23214.24768720665,9956.58519535464,-17369.852058911198,0.17805472929852084,3.5046813909414145,-2.7657141130312706
195295,371258,1388548455.006,200,-16932.77012215375,32011.553899057013,-32363.515347742963,1.264803663380109,2.533841751643588,-1.533162391520991,-17165.2181896362,31135.20943260504,-32091.705692083888,1.2578322267151845,2.5611962515607853,-1.56887247249521
195296,371259,1388555482.509,200,-7114.754258387842,47406.52259530582,-40835.87010046042,1.475596041363222,1.889144989681456,-0.9326666417486952,-7340.493923286958,46690.30976263278,-40746.976325712894,1.480360735903049,1.907558422336073,-0.9503918722581294
195297,371260,1388562510.012,200,3384.197971763576,58999.48419678232,-45988.69361170146,1.4956521716005289,1.4330390040200702,-0.5587511525691402,3206.6743944756467,58395.05064825762,-45994.56363845283,1.502761483218367,1.4464786962947331,-0.5680319598372624
195298,371261,1388569537.515,200,13757.808071587971,67794.65811092139,-48945.81052738536,1.449936225335623,1.083552135874497,-0.2963215735374795,13635.265326893046,67274.9678725883,-49001.58498341848,1.4571384898182045,1.094142960682445,-0.3009794410403552
195299,371262,1388576565.017,200,23697.91363585558,74380.32043770897,-50300.73581535718,1.3757494623635118,0.7993226958150997,-0.09747491942046912,23627.983986388583,73929.50945671496,-50380.41658001578,1.3824060958546276,0.8081924651584486,-0.09934448444744376
195300,371263,1388583592.52,200,33059.933052395136,79128.56037577675,-50409.00719933274,1.286789830647776,0.5578195422972342,0.06126693630176825,33037.628463446425,78736.93616819466,-50496.27137388021,1.292735854663911,0.5656192152759615,0.061177881431458185
195301,371264,1388590620.023,200,41762.342495203615,82288.82065481391,-49502.90996341023,1.188587798154533,0.345644186879621,0.1928315370150666,41782.120370096985,81950.39994093093,-49587.03030938429,1.193820644647651,0.3527817505152737,0.19391103899287232
195302,371265,1388597647.526,200,49749.058349505685,84034.9671565327,-47744.08657353206,1.0832984507325891,0.1542070316892067,0.30495624159317497,49805.5738535906,83746.17688205204,-47817.881722183214,1.0878774599370733,0.16095847135723002,0.3068020771063639
195303,371266,1388604675.029,200,56972.80648853287,84490.89453269744,-45250.64310214247,0.9714469256223174,-0.02236787014410515,0.4025579568531474,57061.22073767872,84249.84529135932,-45309.3517504436,0.975458259964357,-0.015801575512773256,0.4048874900296484
195304,371267,1388611702.532,200,63386.45791754816,83745.33563122238,-42112.45114556432,0.8526182296492704,-0.1883456322215443,0.4888899527726173,63502.590494408076,83551.39999891003,-42153.07317837115,0.8561635024274789,-0.18180676791690328,0.4914922859227856
195305,371268,1388618730.035,200,68937.49635051488,81860.78966846976,-38400.4968721069,0.7257157178831547,-0.3470064095333418,0.5661457457920037,69077.93505140014,81714.35686521971,-38421.39121652,0.7289108953632943,-0.3403612725904062,0.568854311813219
195306,371269,1388625757.538,200,73563.47501190308,78879.00077859011,-34173.07412643732,0.5890038996909716,-0.5010272291119047,0.6357819989061716,73725.69761673291,78781.34289019753,-34173.70836455861,0.5919842594628947,-0.4941532126860832,0.638457812291436
195307,371270,1388632785.041,200,77187.2390755835,74824.25864765598,-29480.32546267233,0.4400031256248441,-0.6527330995882874,0.6986779565855039,77369.78725256312,74777.47537056894,-29461.120305860455,0.4429338776850145,-0.6455088920528411,0.7011988932400435
195308,371271,1388639812.544,200,79710.88913969751,69705.21338085263,-24368.09206045371,0.2752308039182056,-0.8042755304706423,0.7551758293698668,79913.64013136375,69712.23989093608,-24330.327034788053,0.2783256265253407,-0.7965725508853406,0.7574298557396381
195309,371272,1388646840.047,200,81007.20841943736,63515.60125391058,-18881.89721700071,0.08972060908065294,-0.9577666958811212,0.8049975243755445,81231.81711747461,63580.274134510175,-18827.652099031242,0.09327384305440516,-0.9494406461891308,0.8068796111439718
195310,371273,1388653867.55,200,80906.48523982397,56234.16703902833,-13072.11340986687,-0.1238473257170064,-1.115371534337897,0.8469732257492576,81157.13004533376,56361.34778932909,-13004.213956365636,-0.11940217330831995,-1.106253819684256,0.8483881797205692
195311,371274,1388660895.052,200,79174.85378001802,47824.200359126844,-7002.186957900964,-0.3767819800179027,-1.279310034745355,0.8783938849487483,79459.55586738967,48019.95082175008,-6924.091228077851,-0.37075840477889777,-1.2692013625424496,0.8792733883885617
195312,371275,1388667922.555,200,75476.08563161992,38233.88314482407,-764.0842487459372,-0.6876816576811449,-1.4515625627713218,0.8934643487159302,75809.19992949358,38505.641698696556,-679.5345307856418,-0.6788983819162676,-1.4402416339648227,0.8938257719824267
195313,371276,1388674950.058,200,69298.19384300896,27401.802219459325,5488.143457798324,-1.089773283731968,-1.632438338306343,0.8792396448401714,69705.54800151502,27758.28918134088,5576.265786226475,-1.0759799531688912,-1.6197478403526089,0.8793871367032701
195314,371277,1388681977.561,200,59796.0878239899,15285.78214289752,11452.73109232759,-1.649455331245544,-1.8141002882098216,0.8030607568913339,60326.953567546436,15735.229383473596,11546.496323982241,-1.625754255716017,-1.8004510797107292,0.8043728093142509
195315,371278,1388689005.064,200,45402.53220334847,2008.167166952603,16409.01396446512,-2.5208685320714856,-1.9453977977055057,0.5626297797099609,46162.36811554587,2546.18117360735,16532.923181490307,-2.4745786256790563,-1.9351513219993424,0.5715406937399299
